speech_id,year,speaker_id,raw_text,clean_text,decade
970000001,1981,,"The Senate vill please come to order. The Chaplain will offer the prayer. The Chaplain. the Reverend Edward L. R. Elson. D.D.. offered the following prayer: PRAYER God of our fathers and our God. who has made and preserved us a nation. we thank Thee for Thy care over us from generation to generation. and for the new era which unfolds before us. Let Thy spirit descend upon us with all Its cleansing. healing. and creative power. Make usnew persons for new times in a land newborn in spirit. May the solemn induction of the new Members of this body be a renewal of the vocatinal vows of all others. In the deliberations of this new Congress keep our motives pure. our vision clear. our patriotism undefiled. our speech chaste. our judgments fair. and our consciences unbetrayed. Help us to develop work patterns which sustain the soul. nourish the mind. and strengthen the will. And give us grace to make time for the family. for home. and for worship. What we pray for this body we pray for all others in the service of the Government. Send us each day to our tasks to do Justly.to love mercy. and to walk humbly with our God. Hear us as we pray together the prayerthe Master taught us""Our Father who art in heaven. hallowed be Thy name. Thy kingdom come. Thy will be done in Earth. as it is in heaven. Give us this day our daily bread. And forgive us our trespasses as we forgive those who trespass against us. And lead us not into temptation. but deliver us from evil* For Thine is the kingdom. and the power. and the glory forever."" Amen.",the senate vill please come to order the chaplain will offer the prayer the chaplain the reverend edward l r elson d d offered the following prayer prayer god of our fathers and our god who has made and preserved us a nation we thank thee for thy care over us from generation to generation and for the new era which unfolds before us let thy spirit descend upon us with all its cleansing healing and creative power make usnew persons for new times in a land newborn in spirit may the solemn induction of the new members of this body be a renewal of the vocatinal vows of all others in the deliberations of this new congress keep our motives pure our vision clear our patriotism undefiled our speech chaste our judgments fair and our consciences unbetrayed help us to develop work patterns which sustain the soul nourish the mind and strengthen the will and give us grace to make time for the family for home and for worship what we pray for this body we pray for all others in the service of the government send us each day to our tasks to do justly to love mercy and to walk humbly with our god hear us as we pray together the prayerthe master taught us our father who art in heaven hallowed be thy name thy kingdom come thy will be done in earth as it is in heaven give us this day our daily bread and forgive us our trespasses as we forgive those who trespass against us and lead us not into temptation but deliver us from evil for thine is the kingdom and the power and the glory forever amen,1980s
970000002,1981,,The Chair lays before the Senate letters of resignation of two Senators and certificates of appointment of two Senators to fill the vacancies caused by thesi resignations. Without objection. the reading will be waived. and the documents will be printed in the RECORD. The documents ordered to be printed in the RECORD. are as follows:,the chair lays before the senate letters of resignation of two senators and certificates of appointment of two senators to fill the vacancies caused by thesi resignations the reading will be waived and the documents will be printed in the record the documents ordered to be printed in the record are as follows,1980s
970000003,1981,,PR SDENT. i.he Chair lays before the Senate the credentials of 34 Senators elected ...f6r 6year s beginning Januua0%y. 1981. Alo fcates. the Chair Is advised.r Pithe form suggested by the Sen tb6or contain all the essential requiretvnts of the form suggested by the Seat@. If there be no objection. the reading of the 34 certiflcates will be waived and they will be printed In full in the RECORD. The certificates ordered to be printed in the RiCORD. are as foll ws:,pr sdent i he chair lays before the senate the credentials of 34 senators elected f6r 6year s beginning januua0 y 1981 alo fcates the chair is advised r pithe form suggested by the sen tb6or contain all the essential requiretvnts of the form suggested by the seat if there be no objection the reading of the 34 certiflcates will be waived and they will be printed in full in the record the certificates ordered to be printed in the ricord are as foll ws,1980s
970000015,1981,97104811,Mr. President. may I take this opportunity to say that the distinguished Senator from Alaska Is necessarily absent on official business and could not be present in the Senate today for that reason. Alabama.-Howell Heflin and Jeremiah Denton. Alaska.-Theodore F. Stevens and Frank H. Murkowski. Arizona.-Barry Goldwater and Dennis DeConcini. Arkansas.-Dale Bumpers and David Pryor. California.-Alan Cranston and S. I. Hayake.wa. Colorado.-Gary Hart and William L. Armstrong. Connecticut.-Lowell P. Weicker. Jr. and Christopher J. Dodd. Delaware.-William V. Roth. Jr. and Joseph R. Biden. Florida.-Lawton Chiles and Paula Hawkins. Georgia.--Sam Nunn and Mack. Mattingly. Dutcwaii.-Daniel K. Inouye and Spark M. Matsunaga. Idaho.-James A. McClure and Steven D. Symms. Illinois.-Charles H. Percy and Alan J. Dixon. Indiana.-Richard 0. Lugar and Dan Quay!e. Iowa.-Roger W. Jepsen and Charles E. Grassley. Kansas.-Robert Dole and Nancy Landon Kassebaum. KentuckU.-Walter (Dee) Huddleston and Wendell H. Ford. Louisiana.-Russell B. Long and J. Bennett Johnston. Mainc.-William d. Cohen and George J. Mitchell. Maryland.-Charles McC. Mathias and Paul S. Sarbanes. Massaehusetts.-Edward M. Kennedy and Paul E. Tsongas. Michigan.-Carl Levin and Donald W. Riegle. Minnesota.-Rudy Boschwitz and David Durenberger. Mississippi.-John C. Stennis and Thad Cochran. Missouri.-Thomas F. Eagleton and John C. Danforth. Montana.-John Melcher and Max Baucas. Nebraska.- -. James Exon and Edward Zorinsky. Nevada.-Howard W. Cannon and Paul Laxalt. New Hampshire.-Gordon J. Humphrey and Warren Rudman. New Jersey.-Harrison A. Williams. Jr. and Bill Bradley. New Mexico.-Pete V. Domenici and Harrison (Jack) Schmitt. New York.-Daniel Patrick Moynihan and Alfonse M. DAmato. North Carolina.-Jesse Helms and John P. East. North Dakota.-Quentin N. Burdick and Mark Andrews. Ohio.-John Glenn and Howard M. Metzenbaum. Oklahoma.-David L. Boren and Don Nickles. Oregon.-Mark 0. Hatfield and Bob Packwood. Pennsylvania.-John Heinz and Arlen Specter. Rhode Island.-Clalborne Poll and John H. Chafee. South Carolina.-Strom Siurmond and Ernest F. Hollings. South Dakota.--Larry Premier and James Abdnor. Tennessee.-Howard H. Baker. Jr.. and Jim Sasser. Texas.-John Tower and Lloyd Bent-. sen. Utah.-Jake Garn and Orrin G. Hatch. Vermont.-Robert T. Stafford and Patrick J. Leahy. Virginia.-Harry F. Byrd. Jr. and John W. Warner. Washington.-Henry M. Jackson and Slade Gorton. West Virginia.-Jenings Randolht and Robert C. Byrd. Wisconsin.-William Proxmire andi Robert W. Kasten. Jr. Wyomfng.-Malcolm W)Top ind Alan K. Simpson.,mr president may i take this opportunity to say that the distinguished senator from alaska is necessarily absent on official business and could not be present in the senate today for that reason alabama -howell heflin and jeremiah denton alaska -theodore f stevens and frank h murkowski arizona -barry goldwater and dennis deconcini arkansas -dale bumpers and david pryor california -alan cranston and s i hayake wa colorado -gary hart and william l armstrong connecticut -lowell p weicker jr and christopher j dodd delaware -william v roth jr and joseph r biden florida -lawton chiles and paula hawkins georgia --sam nunn and mack mattingly dutcwaii -daniel k inouye and spark m matsunaga idaho -james a mcclure and steven d symms illinois -charles h percy and alan j dixon indiana -richard 0 lugar and dan quay e iowa -roger w jepsen and charles e grassley kansas -robert dole and nancy landon kassebaum kentucku -walter dee huddleston and wendell h ford louisiana -russell b long and j bennett johnston mainc -william d cohen and george j mitchell maryland -charles mcc mathias and paul s sarbanes massaehusetts -edward m kennedy and paul e tsongas michigan -carl levin and donald w riegle minnesota -rudy boschwitz and david durenberger mississippi -john c stennis and thad cochran missouri -thomas f eagleton and john c danforth montana -john melcher and max baucas nebraska - - james exon and edward zorinsky nevada -howard w cannon and paul laxalt new hampshire -gordon j humphrey and warren rudman new jersey -harrison a williams jr and bill bradley new mexico -pete v domenici and harrison jack schmitt new york -daniel patrick moynihan and alfonse m damato north carolina -jesse helms and john p east north dakota -quentin n burdick and mark andrews ohio -john glenn and howard m metzenbaum oklahoma -david l boren and don nickles oregon -mark 0 hatfield and bob packwood pennsylvania -john heinz and arlen specter rhode island -clalborne poll and john h chafee south carolina -strom siurmond and ernest f hollings south dakota --larry premier and james abdnor tennessee -howard h baker jr and jim sasser texas -john tower and lloyd bent- sen utah -jake garn and orrin g hatch vermont -robert t stafford and patrick j leahy virginia -harry f byrd jr and john w warner washington -henry m jackson and slade gorton west virginia -jenings randolht and robert c byrd wisconsin -william proxmire andi robert w kasten jr wyomfng -malcolm w top ind alan k simpson,1980s
970000018,1981,,Pursuant to Senate Resblution 1. the Chair appoints the Senator from Tennessee . and the Senator from West Virginia as menbers of a committee to join the committee of the House of Representatives to wait upon the President of the United States and inform him that a quorum is assembled and that Congress is ready to re-. ceive any communication he may be pleased to make. (Later the following occurred:),pursuant to senate resblution 1 the chair appoints the senator from tennessee and the senator from west virginia as menbers of a committee to join the committee of the house of representatives to wait upon the president of the united states and inform him that a quorum is assembled and that congress is ready to re- ceive any communication he may be pleased to make later the following occurred,1980s
970000019,1981,97104811,Mr. President. pursuant to the provisions of the resolution just adopted. I am happy to report that the distinguished minority leader and I have reached the President of the United States and notifled him that the Senate Is in session. that a quorum Is present. and that we are prepared now to receive his messages and requests and transact such business as may properly come before the Senate. The President asked us to particularly express his congratulations to new Menbers. his good wishes to those who are departing. to wish everyone here a happy new year. and he expressed the hopex. if I may say so. that the transition in the executive department may be as smooth as the transition has been in the Senate. I observed to the President that that was indeed the case. and was so in large measure due to the generosity and cooperation. of the distinguished Senator from VWest Virginia . our new minority leader. I told him then. as I would reiterate now for the benefit of the Senate. that his cooperation in this transition has been most remarkable indeed. that I personally. and I believe every Member on this side. I am sure every Member on this side. wish to express our personal gratitude and appreciation to the Senator from West Virginia for that cooperation. I The President. as well. indicated that he stood ready to cooperate with the Senate and that he would have further messages to be delivered in due course.,mr president pursuant to the provisions of the resolution just adopted i am happy to report that the distinguished minority leader and i have reached the president of the united states and notifled him that the senate is in session that a quorum is present and that we are prepared now to receive his messages and requests and transact such business as may properly come before the senate the president asked us to particularly express his congratulations to new menbers his good wishes to those who are departing to wish everyone here a happy new year and he expressed the hopex if i may say so that the transition in the executive department may be as smooth as the transition has been in the senate i observed to the president that that was indeed the case and was so in large measure due to the generosity and cooperation of the distinguished senator from vwest virginia our new minority leader i told him then as i would reiterate now for the benefit of the senate that his cooperation in this transition has been most remarkable indeed that i personally and i believe every member on this side i am sure every member on this side wish to express our personal gratitude and appreciation to the senator from west virginia for that cooperation i the president as well indicated that he stood ready to cooperate with the senate and that he would have further messages to be delivered in due course,1980s
970000032,1981,,The Chair lays before the Senate a communication from the Administrator of General Services Administration transmitting. pursuant to law. certified copies of the I.nal ascertainment of the electors for President and Vice President from the several States and the District of Columbia which with the accompanying papers are ordered to lie on the table.,the chair lays before the senate a communication from the administrator of general services administration transmitting pursuant to law certified copies of the i nal ascertainment of the electors for president and vice president from the several states and the district of columbia which with the accompanying papers are ordered to lie on the table,1980s
970000037,1981,97114621,Mr. President. I have acted with some reluctance and also with some joy. so one might say that I have acted ambivalently. My reluctance is born of my respect for the distinguished Senator from South Carolina . I have worked in this body with Mr. THURMOND for many years. I admire him. regard him highly. and under other circumstances I would join without further adieu in supporting the resolution that has been submitted by the distinguished Senator from Tennessee. the majority leader. However. on our side of the aisle there is a patrician Senator who is a man of 33 years experience in this body. He was chairman of the Committee on Armed Services for 13 years. He is now the ranking member of that committee. He would also be the ranking member of the Appropriations Committee had he chose to claim that position. Senator STENNIS was circuit judge in the State of Mississippi for many years before he came to the Senate. When I first came to the Senate I went on the Committee on Appropriations and there I came to know JOHN STENNIS and respect and admire him. When the then majority leader became President I took Mr. Johnsons seat on the Armed Services Committee and there I had the opportunity to work under the late Senator Russell. who was chairman of that committee. and work with JOHN STENNIS. my friend. He is a man who looks like a Senator. talks like a Senator. acts like a Senator. and who is a Senators Senator in my humble judgment. He is wellbeloved by all Members of this Senate on both sides of the aisle. He is highly respected on both sides of the aisle. highly respected in and out of the Senate. Mr. President. it is with a great deal of pleasure and with tremendous pride that I present him to the Senate today. for its considoration. although I have some doubts with respect to the outcome . as I look about me here and see the slightly thinned ranks of the Democrats. and as I look to the other side aind see the rather slightly bloated ranks of the Republicans. realizing we will have to out up with that for a short while . and knowing beforehand that my nominee may not survive the vote count. so I do present this name with a great deal of admiration and respect and with great pride. and I urge the Senate to support the amendment.,mr president i have acted with some reluctance and also with some joy so one might say that i have acted ambivalently my reluctance is born of my respect for the distinguished senator from south carolina i have worked in this body with mr thurmond for many years i admire him regard him highly and under other circumstances i would join without further adieu in supporting the resolution that has been submitted by the distinguished senator from tennessee the majority leader however on our side of the aisle there is a patrician senator who is a man of 33 years experience in this body he was chairman of the committee on armed services for 13 years he is now the ranking member of that committee he would also be the ranking member of the appropriations committee had he chose to claim that position senator stennis was circuit judge in the state of mississippi for many years before he came to the senate when i first came to the senate i went on the committee on appropriations and there i came to know john stennis and respect and admire him when the then majority leader became president i took mr johnsons seat on the armed services committee and there i had the opportunity to work under the late senator russell who was chairman of that committee and work with john stennis my friend he is a man who looks like a senator talks like a senator acts like a senator and who is a senators senator in my humble judgment he is wellbeloved by all members of this senate on both sides of the aisle he is highly respected on both sides of the aisle highly respected in and out of the senate mr president it is with a great deal of pleasure and with tremendous pride that i present him to the senate today for its considoration although i have some doubts with respect to the outcome as i look about me here and see the slightly thinned ranks of the democrats and as i look to the other side aind see the rather slightly bloated ranks of the republicans realizing we will have to out up with that for a short while and knowing beforehand that my nominee may not survive the vote count so i do present this name with a great deal of admiration and respect and with great pride and i urge the senate to support the amendment,1980s
970000038,1981,97104811,Mr. President. it is often said that beauty is in the eye of the beholder. and what may appear bloated on his side seems like mere political justice on this side. Mr. President. my good friend. the distinguished Senator from West Virginia. the minority leader. understands what I am about to say is said in good grace and in keeping with our friendship and understanding. He pointed out that he thought our increased numbers might be only tempo-. rary and transient. I would point out that no . doubt is what Republicans thought in 1955 when they lost control of the Senate. so I would hope our 26 years will be as enjoyable as his 26 years. Mr. President. I cannot say what difficulty I have in rising to oppose the amendment offered by the distinguished minority leaderI have to get used to that. the distinguished minority leaderbecause I. too. have such an extraordinary respect for the Senator from Mississippi. He and I come from the same region of the country. We. as I am fond of saying. share a common unfortified boundary between Tennessee and Mississippi. He is a great man of distinction and has shed that light of distinction with his service in the Senate. It is with great reluctance that I rise in opposition to the amendment offered. I urge instead that our colleagues support the nomination of one of the finest men to grace the Senate of the United States in the per.on of Senator STRox THURMOND Of South Carolina. STnont TaURMOND has become a political institution in his lifetime. He has bccn a trail blazer in the political arrangements of this country. and particularly of his region of the country. I cannot think of a man or woman in this Chamber who has served with ureater distinction and for a greater public good than has Senator STROM THURMOND of South Carolina. Mr. President. it is. therefore. with great enthusiasm that I stand before my colleagues to urge that they elect as President pro tempore of the Senate the Senator from South Carolina. STRom TuUnMOND.,mr president it is often said that beauty is in the eye of the beholder and what may appear bloated on his side seems like mere political justice on this side mr president my good friend the distinguished senator from west virginia the minority leader understands what i am about to say is said in good grace and in keeping with our friendship and understanding he pointed out that he thought our increased numbers might be only tempo- rary and transient i would point out that no doubt is what republicans thought in 1955 when they lost control of the senate so i would hope our 26 years will be as enjoyable as his 26 years mr president i cannot say what difficulty i have in rising to oppose the amendment offered by the distinguished minority leaderi have to get used to that the distinguished minority leaderbecause i too have such an extraordinary respect for the senator from mississippi he and i come from the same region of the country we as i am fond of saying share a common unfortified boundary between tennessee and mississippi he is a great man of distinction and has shed that light of distinction with his service in the senate it is with great reluctance that i rise in opposition to the amendment offered i urge instead that our colleagues support the nomination of one of the finest men to grace the senate of the united states in the per on of senator strox thurmond of south carolina stnont taurmond has become a political institution in his lifetime he has bccn a trail blazer in the political arrangements of this country and particularly of his region of the country i cannot think of a man or woman in this chamber who has served with ureater distinction and for a greater public good than has senator strom thurmond of south carolina mr president it is therefore with great enthusiasm that i stand before my colleagues to urge that they elect as president pro tempore of the senate the senator from south carolina strom tuunmond,1980s
970000040,1981,,The question now recurs on agreeing to the resolution of the Senator from Tennessee. [Putting the question.] The resolution (S. Res. 4) was agreed to as follows: Resolved. That the Honorable Strom Thurmond. a Senator from the State of South Carolina. be. and he is hereby. elected President of the Senate pro tempore. to hold ofice during the pleasure of the Senate. in accordance with Rule I. paragraph 1. of the Standing Rules of. the Senate.,the question now recurs on agreeing to the resolution of the senator from tennessee putting the question the resolution s res 4 was agreed to as follows resolved that the honorable strom thurmond a senator from the state of south carolina be and he is hereby elected president of the senate pro tempore to hold ofice during the pleasure of the senate in accordance with rule i paragraph 1 of the standing rules of the senate,1980s
