decade,state,Newspeak_Index
1980s,. Texas,
1980s,Alabama,
1980s,Alaska,
1980s,Cafifomia,
1980s,CalformIa,
1980s,California,
1980s,Colorado,
1980s,Connecticut,
1980s,Delaware,
1980s,Florida,
1980s,Georgia,
1980s,Hawaii,
1980s,Illinois,
1980s,Indiana,
1980s,Iowa,
1980s,Louisiana,
1980s,Maryland,
1980s,Mbryland,
1980s,Michigan,
1980s,Missouri,
1980s,Nebraska,
1980s,New Hampshire,
1980s,New Jersey,
1980s,New York,
1980s,North Carolina,
1980s,North Dakota,
1980s,NorthDakota,
1980s,Of Pennsylvania,
1980s,Ohio,
1980s,Oklahoma,
1980s,South Dakota,
1980s,Tennessee,
1980s,Texas,
1980s,Unknown,
1980s,Utah,
1980s,Virginia,
1980s,Washington,
1980s,having,
1990s,Alabama,0.0
1990s,Alaska,0.0
1990s,California,0.0
1990s,Colorado,0.0
1990s,Conecticut,0.0
1990s,Connecticut,0.0
1990s,Flordia,0.0
1990s,Florida,0.0
1990s,Georgia,0.0
1990s,Hawaii,0.0
1990s,Illinois,0.0
1990s,Indiana,0.0
1990s,Iowa,0.0
1990s,Kansas,0.0
1990s,Louisiana,0.0
1990s,Maine,0.0
1990s,Maryland,0.0
1990s,Massachuse,0.0
1990s,Massachusetts,0.0
1990s,Michigan,0.0
1990s,Minnesota,0.0
1990s,Mississippi,0.0
1990s,Missouri,0.0
1990s,New,0.0
1990s,New Hampshire,0.0
1990s,New Jersey,0.0
1990s,New Mexico,0.0
1990s,New York,0.0
1990s,North Carolina,0.0
1990s,North Dakota,0.0
1990s,Of California,0.0
1990s,Ohio,0.0
1990s,Oklahoma,0.0
1990s,Oregon,0.0
1990s,Pennsylvania,0.0
1990s,South Carolina,0.0
1990s,Texas,0.0
1990s,Unknown,0.0
1990s,Utah,0.0
1990s,Virginia,0.0
1990s,Washington,0.0
1990s,Wisconsin,0.0
1990s,Wyoming,0.0
2000s,Alabama,-0.1789643385707597
2000s,Alaska,-0.1789643385707597
2000s,Arizona,-0.1789643385707597
2000s,Cali,-0.1789643385707597
2000s,California,-0.1789643385707597
2000s,Colorado,-0.1789643385707597
2000s,Connecticut,-0.1789643385707597
2000s,Flor,-0.1789643385707597
2000s,Florida,-0.1789643385707597
2000s,Georgia,-0.1789643385707597
2000s,Hawaii,-0.1789643385707597
2000s,Illinois,-0.1789643385707597
2000s,Indiana,-0.1789643385707597
2000s,Iowa,-0.1789643385707597
2000s,Kansas,-0.1789643385707597
2000s,Kentucky,-0.1789643385707597
2000s,Maryland,-0.1789643385707597
2000s,Massachusetts,-0.1789643385707597
2000s,Mexico,-0.1789643385707597
2000s,Michigan,-0.1789643385707597
2000s,Minnesota,-0.1789643385707597
2000s,Mississippi,-0.1789643385707597
2000s,Missouri,-0.1789643385707597
2000s,NeW,-0.1789643385707597
2000s,Nebraska,-0.1789643385707597
2000s,New Hampshire,-0.1789643385707597
2000s,New Jersey,-0.1789643385707597
2000s,New Mexico,-0.1789643385707597
2000s,New York,-0.1789643385707597
2000s,North Carolina,-0.1789643385707597
2000s,Ohio,-0.1789643385707597
2000s,Oklahoma,-0.1789643385707597
2000s,Oregon,-0.1789643385707597
2000s,Pennsyl,-0.1789643385707597
2000s,Pennsylvania,-0.1789643385707597
2000s,Rhode Island,-0.1789643385707597
2000s,Soulh,-0.1789643385707597
2000s,South,-0.1789643385707597
2000s,South Carolina,-0.1789643385707597
2000s,Tennessee,-0.1789643385707597
2000s,Texas,-0.1789643385707597
2000s,Unknown,-0.1789643385707597
2000s,Utah,-0.1789643385707597
2000s,Vermont,-0.1789643385707597
2000s,Virginia,-0.1789643385707597
2000s,Walter,-0.1789643385707597
2000s,Washington,-0.1789643385707597
2000s,Wisconsin,-0.1789643385707597
2000s,fered,-0.1789643385707597
2000s,hearts,-0.1789643385707597
2000s,which,-0.1789643385707597
2010s,Alabama,-0.496867510346811
2010s,Alaska,-0.496867510346811
2010s,Arizona,-0.496867510346811
2010s,Arkansas,-0.496867510346811
2010s,Cali,-0.496867510346811
2010s,California,-0.496867510346811
2010s,Colorado,-0.496867510346811
2010s,Connecticut,-0.4968675103468109
2010s,Florida,-0.49686751034681104
2010s,Georgia,-0.49686751034681104
2010s,Illinois,-0.496867510346811
2010s,Indiana,-0.496867510346811
2010s,Iowa,-0.49686751034681104
2010s,Kansas,-0.496867510346811
2010s,Kentucky,-0.49686751034681104
2010s,Maine,-0.496867510346811
2010s,Maryland,-0.496867510346811
2010s,Massachusetts,-0.496867510346811
2010s,Michigan,-0.496867510346811
2010s,Minnesota,-0.496867510346811
2010s,Mississippi,-0.496867510346811
2010s,Missouri,-0.4968675103468109
2010s,Nebraska,-0.496867510346811
2010s,Nevada,-0.496867510346811
2010s,New Hampshire,-0.496867510346811
2010s,New Jersey,-0.4968675103468109
2010s,New Mexico,-0.496867510346811
2010s,New York,-0.49686751034681104
2010s,North Carolina,-0.496867510346811
2010s,Ohio,-0.4968675103468109
2010s,Pennsyl,-0.496867510346811
2010s,Pennsylvania,-0.496867510346811
2010s,South Carolina,-0.496867510346811
2010s,South Dakota,-0.496867510346811
2010s,Tennessee,-0.496867510346811
2010s,Texas,-0.49686751034681104
2010s,Unknown,-0.4968675103468109
2010s,Utah,-0.4968675103468109
2010s,Virginia,-0.49686751034681104
2010s,Washington,-0.496867510346811
2010s,West Virginia,-0.496867510346811
2010s,Wisconsin,-0.496867510346811
2010s,fered,-0.496867510346811
